id_order,state,sku
300385,Completed,SAN0128
300387,Completed,APP1744
300385,Completed,SAN0127
300368,Completed,MOX0012
300389,Completed,MOP0067
300390,Completed,APP0697
300368,Completed,GRT0421
300391,Completed,PAC1729
300392,Completed,SPE0163
300399,Completed,SAM0067
300400,Completed,LOG0185
300403,Completed,OTT0130
300406,Completed,LAC0194
300258,Completed,TRA0035
300411,Completed,BEL0264
300412,Completed,WAC0160
300413,Completed,SAN0127
300414,Completed,LEX0027
300418,Completed,SAM0110-A
300419,Completed,APP1804
300421,Completed,OWC0036-2
300421,Completed,KAN0022
300422,Completed,TRK0004
300430,Completed,APP1146
300430,Completed,WOE0002
300434,Completed,LAC0161
300435,Completed,WIT0026
300436,Completed,ZAG0013
300439,Completed,BEL0206
300439,Completed,SPE0135
300439,Completed,APP0921
300443,Completed,TAM0006
300444,Completed,HTE0001
300444,Completed,HTE0003
300446,Completed,OTT0153
300446,Completed,BEL0280
300455,Completed,OWC0142
300456,Completed,SAN0127
300443,Completed,PAR0044
300452,Completed,WAC0185
300443,Completed,HTE0004
300462,Completed,SAT0027
300463,Completed,LOG0078
300464,Completed,WIT0028
300466,Completed,FCM0020
300467,Completed,TRK0005
300468,Completed,BEA0050
300469,Completed,APP1037
300446,Completed,MUV0162
300471,Completed,GRT0417
300474,Completed,DLK0088
300467,Completed,NOD0002
300475,Completed,OTT0126
300476,Completed,CRU0016-2
300435,Completed,APP1041
300435,Completed,APP1915
300482,Completed,ELG0040
300391,Completed,TOS0014
300485,Completed,SEA0043
300495,Completed,APP1208
300497,Completed,REP0128
300498,Completed,NTE0095
300495,Completed,JMO0050
300495,Completed,APP0691
300495,Completed,APP1459
300506,Completed,SAN0155
300506,Completed,SAN0129
300512,Completed,NOM0011
300513,Completed,ELG0033
300455,Completed,SEA0038
300518,Completed,IFX0130
300525,Completed,PAC1764
300513,Completed,LEX0010
300527,Completed,OWC0196
300528,Completed,APP1679
300530,Completed,SPE0169
300531,Completed,CRU0046
300532,Completed,ELG0033
300532,Completed,ELG0034
300536,Completed,PIE0022
300540,Completed,ZAG0013
300541,Completed,BOS0037
300541,Completed,WHO0002
300544,Completed,TRK0005
300546,Completed,WAC0165
300547,Completed,TPL0011
300541,Completed,MUV0165
300533,Completed,TWS0072
300551,Completed,RAI0001
300553,Completed,APP0017
300554,Completed,OWC0181-2
300558,Completed,APP0602
300565,Completed,CRU0026-2
300585,Completed,APP1870
300586,Completed,BEA0052
300590,Completed,BOO0075
300281,Completed,MUV0145
300604,Completed,TPL0026
300590,Completed,STA0054
300610,Completed,MUJ0010
300613,Completed,HTE0004
300281,Completed,MOS0059
300615,Completed,LEE0005
300616,Completed,JBL0113
300626,Completed,IFX0028
300627,Completed,PAC0616
300626,Completed,APP0692
300626,Completed,IFX0087
300637,Completed,GRT0387
300639,Completed,PAC1393
300646,Completed,NEA0004
300646,Completed,NEA0009
300650,Completed,OWC0094
300655,Completed,JBL0096
300656,Completed,BEL0227
300657,Completed,LGE0041
300660,Completed,par0066
300646,Completed,NEA0011
300663,Completed,WAC0048
300665,Completed,APP1646
300671,Completed,CRU0026-2
300674,Completed,DLL0014
300675,Completed,SYN0133
300678,Completed,SAN0092
300682,Completed,LOG0078
300686,Completed,APP1638
300692,Completed,BEL0267
300693,Completed,SAT0036
300656,Completed,WDT0369
300699,Completed,MOS0148
300701,Completed,SEA0096
300699,Completed,STA0012
300704,Completed,APP0893
300705,Completed,MOS0134
274043,Completed,GRT0419
300711,Completed,BEA0026
300711,Completed,APP0017
300716,Completed,APP1841
300718,Completed,MOS0015
300720,Completed,ELG0042
300713,Completed,APP0431
300713,Completed,OTT0127
300726,Completed,TWS0043
300731,Completed,APP1204
300726,Completed,KUA0020
300733,Completed,OLL0013
300725,Completed,CRU0016-2
300736,Completed,MOS0079
300737,Completed,NTE0007
300738,Completed,SAN0127
300739,Completed,LAC0149
300737,Completed,SAM0069
300720,Completed,OTT0137
300726,Completed,KUA0011
300744,Completed,APP1134
300746,Completed,CRU0045
300736,Completed,OTT0156
300736,Completed,NTE0072
300757,Completed,TPL0026
300737,Completed,WDT0357
300760,Completed,NTE0007
300761,Completed,APP0403
300760,Completed,OWC0094
300764,Completed,KEN0206
300773,Completed,TRK0005
300775,Completed,WAC0165
300778,Completed,APP1495
300778,Completed,APP1215
300778,Completed,APP1622
300779,Completed,FCM0007-2
300786,Completed,THU0013
300778,Completed,IFX0028
300789,Completed,SPH0007
300778,Completed,TWS0060
300790,Completed,STA0046
300791,Completed,LOG0078
300793,Completed,WAC0162-A
300796,Completed,OWC0154
300800,Completed,TPL0026
300798,Completed,APP1567
300806,Completed,SPH0008
300808,Completed,SAN0128
300809,Completed,SPH0007
300812,Completed,IFX0016
300814,Completed,WAC0165
300819,Completed,SAT0005
300819,Completed,SAT0004
300826,Completed,SPE0177
300826,Completed,BEL0280
300831,Completed,CRU0017-2
300834,Completed,TWS0035
300839,Completed,TOS0016
300728,Completed,APP1215
300846,Completed,FCM0016-2
300848,Completed,APP1758
300848,Completed,APP1754
300851,Completed,JBL0098
300826,Completed,MUV0166
300854,Completed,JMO0065
300860,Completed,LEX0021
300861,Completed,SAN0127
300862,Completed,CRU0043-2
300867,Completed,STM0088
300872,Completed,TPL0018
300846,Completed,SAM0067
300873,Completed,TRK0001
300875,Completed,PAR0048
300877,Completed,BEL0264
300880,Completed,ELG0033
300881,Completed,OTR0039
300881,Completed,IFX0027
300876,Completed,WDT0169
300882,Completed,WAC0084
300881,Completed,SEA0096
300883,Completed,BOS0044
300876,Completed,OSM0001
300889,Completed,PAR0047
300896,Completed,HTE0002
300898,Completed,TPL0011
300903,Completed,WAC0167
300904,Completed,SAM0067
300905,Completed,HTE0003
300906,Completed,STA0027
300916,Completed,APP1014
300830,Completed,PEB0009
300906,Completed,NTE0090
300918,Completed,PEB0009
300922,Completed,IFX0028
300924,Completed,OLL0013
300929,Completed,PAR0048
300930,Completed,TWS0087
300933,Completed,BEA0052
300938,Completed,WDT0135
300941,Completed,WIT0028
300945,Completed,DLK0002
300947,Completed,PEB0003
300948,Completed,BEL0264
300949,Completed,JBL0101
300950,Completed,PAC0588
300954,Completed,PAC0776
300960,Completed,LOG0078
300962,Completed,LEE0005
300966,Completed,NTE0058
300971,Completed,PAR0048
300977,Completed,LOG0219
300979,Completed,TRK0005
300980,Completed,LOG0169
300982,Completed,OWC0190
300986,Completed,WAC0167
300979,Completed,NOD0002
300989,Completed,SAT0007
300989,Completed,APP1210
300998,Completed,HTE0001
300999,Completed,OTR0039
301012,Completed,WDT0135
301013,Completed,CRU0026-2
301015,Completed,SPH0007
301030,Completed,IFX0028
301043,Completed,SAM0089
301058,Completed,APP0697
301067,Completed,PIE0022
301069,Completed,SPH0002
301074,Completed,APP1215
301075,Completed,HTE0003
300326,Completed,LIF0072
301080,Completed,ADN0018
301080,Completed,ADN0037
301079,Completed,MOS0007
301085,Completed,SAN0093
301059,Completed,WDT0221
301091,Completed,ZAG0016
301079,Completed,THU0019
301092,Completed,OWC0054-2
301094,Completed,LEA0001
301095,Completed,BEL0264
286842,Completed,PHI0050
301098,Completed,KUA0013
301097,Completed,APP0431
301103,Completed,PAR0048
301105,Completed,CRU0046
301106,Completed,HTE0004
301111,Completed,WAC0166
301112,Completed,KEU0001
301108,Completed,PAR0065
301106,Completed,TRK0003
301118,Completed,IKM0043
301121,Completed,APP0921
301129,Completed,PAC1432
301140,Completed,IFX0049
301140,Completed,OWC0007
301140,Completed,IFX0135
301145,Completed,IFX0016
301148,Completed,THU0019
301152,Completed,LOG0169
301155,Completed,LOG0078
301158,Completed,PAC1443
301162,Completed,BNQ0044
301166,Completed,BEL0264
301169,Completed,SAN0110
301173,Completed,APP1184
301178,Completed,APP0602
301179,Completed,KEN0160
301184,Completed,SPE0134
301184,Completed,ELG0032
301193,Completed,IFX0016
301181,Completed,IFX0040
301198,Completed,TRA0010
301198,Completed,WDT0357
301198,Completed,XOO0005
301204,Completed,APP1622
301204,Completed,APP1215
301204,Completed,APP1486
301196,Completed,RAI0013
301207,Completed,HTE0002
301208,Completed,SAN0127
301209,Completed,PAR0047
301211,Completed,PAC1234
301214,Completed,CRU0045
301223,Completed,CRU0046
301226,Completed,IFX0040
301236,Completed,TWS0099
301239,Completed,PHI0057
301244,Completed,LIF0047
301243,Completed,OTT0154
301243,Completed,IOT0018
301247,Completed,OTT0134
301232,Completed,SYN0121
301252,Completed,SPE0160
301253,Completed,SAM0099
301232,Completed,WDT0177
296229,Completed,MOS0176
301261,Completed,MOS0141
301270,Completed,WDT0177
296229,Completed,APP1459
301276,Completed,ELG0033
301276,Completed,CRU0044
301277,Completed,MOS0007
301280,Completed,CRU0043
301292,Completed,LOG0185
301306,Completed,PAC1554
301307,Completed,IFX0014
301308,Completed,OWC0068-A
301313,Completed,THU0025
301309,Completed,SAN0093
301318,Completed,LAC0139
300331,Completed,BEL0292
301320,Completed,OWC0040-2
301321,Completed,APP0921
301322,Completed,APP1184
301325,Completed,CRU0026-2
301327,Completed,APP0692
301325,Completed,IFX0006
301331,Completed,PAC1027
301334,Completed,HTE0001
301335,Completed,JAW0042
301339,Completed,WIT0022
301344,Completed,NEA0003
301345,Completed,APP1136
301344,Completed,PHI0070
301352,Completed,WDT0135
301234,Completed,SYN0122
301234,Completed,WDT0177
301359,Completed,WAC0084
301360,Completed,WDT0135
301365,Completed,PAC0513
301367,Completed,LMP0001
301300,Completed,DLL0020
301300,Completed,STA0010
301370,Completed,PAC1192
301371,Completed,JBL0116
301374,Completed,SAT0033
301375,Completed,SEA0100
301376,Completed,NTE0011
301362,Completed,PAC1584
301379,Completed,LEX0033
301380,Completed,PAC1482
301383,Completed,PUR0139
301386,Completed,PAC1149
301387,Completed,LOG0142
301390,Completed,DLL0029-A
301393,Completed,WAC0164
301395,Completed,BEL0203
301396,Completed,LGE0029
301398,Completed,PAC1622
301383,Completed,BEL0256
301403,Completed,WDT0311-A
301387,Completed,TWS0040
301404,Completed,WAC0163
301395,Completed,LOG0201
299869,Completed,BEL0175
301406,Completed,PAC1234
301408,Completed,OLL0016
301409,Completed,SAN0127
301412,Completed,LGE0029
301414,Completed,PAC1367
301416,Completed,DLL0028
301419,Completed,APP0601
301420,Completed,TOS0001
301422,Completed,FCM0003-2
301395,Completed,IHE0017
301433,Completed,LOG0169
301434,Completed,DLL0014
301395,Completed,OBL0001
301440,Completed,BOS0037
301442,Completed,WIT0022
301430,Completed,CRU0016-2
301451,Completed,SAN0127
301451,Completed,SAN0128
301452,Completed,LEX0022
301430,Completed,OWC0007
301456,Completed,SAN0093
301457,Completed,BEL0264
301458,Completed,MUV0148
301463,Completed,SAT0004
301467,Completed,LEX0021
301469,Completed,ADN0038
300572,Completed,KAN0019
301256,Completed,SAN0128
301478,Completed,TRN0003
301480,Completed,CRU0015-2
301490,Completed,APP0921
301491,Completed,SEA0047
300671,Completed,SAM0067
301495,Completed,TUC0271
301496,Completed,OTR0039
301498,Completed,BEL0175
301499,Completed,IFX0023
301500,Completed,APP1261
301501,Completed,PAC1542
301504,Completed,APP1184
301508,Completed,TRI0006
301509,Completed,NTE0092-A
301512,Completed,APP0692
301513,Completed,ELG0033
301521,Completed,APP1649
301522,Completed,TRA0035
301512,Completed,MUV0141
301527,Completed,APP0602
301247,Completed,ELG0033
301528,Completed,PAC1394
301531,Completed,WDT0135
301533,Completed,TRK0005
301537,Completed,HTE0004
301543,Completed,PAC1234
301544,Completed,KIN0153-2
301547,Completed,WDT0357
301548,Completed,DLL0010
301517,Completed,BEZ0152
301557,Completed,SAM0067
301559,Completed,LOG0078
301550,Completed,WAC0084
301560,Completed,IFX0016
301562,Completed,SAN0127
301563,Completed,APP1129
301566,Completed,HTE0004
301563,Completed,MOX0009
301571,Completed,WDT0135
301575,Completed,WAC0040
301576,Completed,TUC0249
301517,Completed,SPE0127
301587,Completed,PIE0022
301589,Completed,TRA0006
301587,Completed,IFX0138
301587,Completed,IFX0137
301597,Completed,TRK0003
301601,Completed,TOS0001
301607,Completed,KAN0046
301607,Completed,KUA0019
301609,Completed,DLL0014
301612,Completed,LOG0078
301619,Completed,WOE0007
301622,Completed,STA0010
301607,Completed,APP0692
301628,Completed,SAM0068
301628,Completed,OWC0007
301628,Completed,MAC0116
301634,Completed,HTE0004
301635,Completed,MOX0013
301636,Completed,TPL0033
301636,Completed,APP0017
301646,Completed,CRU0044
301649,Completed,OTT0097
301650,Completed,TUC0285
301646,Completed,MAC0116
301649,Completed,OTT0094
301651,Completed,JBL0101
301652,Completed,BEL0262
301654,Completed,SAN0127
301655,Completed,OWC0166
301662,Completed,BEL0286
301669,Completed,CRU0047
301675,Completed,IFX0016
301677,Completed,APP0401-A
301678,Completed,WAC0167
301681,Completed,OWC0040-2
301230,Completed,SAT0027
301230,Completed,SAN0148
301685,Completed,ELG0033
301686,Completed,LOG0185
301689,Completed,WAC0163
301690,Completed,CRU0026-2
301695,Completed,APP1184
301595,Completed,APP1095
301697,Completed,PAR0048
301707,Completed,LEX0033
301709,Completed,TUC0271
301711,Completed,SPE0060
301712,Completed,PEB0003
301717,Completed,WAC0163
301719,Completed,SAM0110
301725,Completed,STA0054
301726,Completed,CRU0016-2
301728,Completed,APP0921
301733,Completed,ZAG0023
301733,Completed,APP1637
301734,Completed,LOG0078
301736,Completed,WDT0221
301737,Completed,PEB0003
301297,Completed,BOS0037
301738,Completed,APP1014
301744,Completed,IFX0019
301744,Completed,IFX0015
301749,Completed,WAC0173
301750,Completed,LOG0078
301752,Completed,APP0601
301753,Completed,LMP0001
301726,Completed,SAT0005-A
301756,Completed,LAC0177
301760,Completed,APP1570
301752,Completed,LOG0078
297076,Completed,MUV0162
301764,Completed,LIF0096
301767,Completed,CRU0043-2
301775,Completed,LOG0169
297076,Completed,XOO0005
301786,Completed,APP1635
301787,Completed,SPE0181
301788,Completed,KUA0015
297076,Completed,XOO0006
301789,Completed,APP1914
301789,Completed,STA0040
301792,Completed,OLL0011-A
301789,Completed,APP1041
301796,Completed,WAC0148
301799,Completed,WAC0163
301806,Completed,BEL0170
301812,Completed,WDT0135
301814,Completed,LAC0147
301816,Completed,SPH0008
300104,Completed,PAC0677
301814,Completed,LAC0193
301823,Completed,DLL0014
301824,Completed,IFX0082
301828,Completed,DLL0012
301830,Completed,CRU0016-2
301822,Completed,APP1650
301832,Completed,SYN0121
301840,Completed,APP0921
301842,Completed,HTE0002
301854,Completed,WDT0135
301855,Completed,WIT0017
301854,Completed,SYN0121
301857,Completed,FCM0003-2
301862,Completed,GRT0427
301869,Completed,ELG0017
301878,Completed,LIF0090
301886,Completed,PAR0047
301890,Completed,TPL0032
301905,Completed,KIN0153-2
301919,Completed,PAC0748
301923,Completed,TOS0016
301198,Completed,LMP0017
301919,Completed,TPL0020
301925,Completed,NTE0058
301930,Completed,WDT0169
301932,Completed,OWC0086-2
301937,Completed,HGS0004
301944,Completed,APP1640
301945,Completed,SAN0141
301946,Completed,ZAG0022
301948,Completed,PAR0047
301952,Completed,SEA0096
301967,Completed,PAC0725
301967,Completed,NTE0105
301975,Completed,OWC0094
